"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PPP","TOT","NATUSD","A","2001",1.328591,
"AUS","PPP","TOT","NATUSD","A","2002",1.33649,
"AUS","PPP","TOT","NATUSD","A","2003",1.355785,
"AUS","PPP","TOT","NATUSD","A","2004",1.365561,
"AUS","PPP","TOT","NATUSD","A","2005",1.388356,
"AUS","PPP","TOT","NATUSD","A","2006",1.403273,
"AUS","PPP","TOT","NATUSD","A","2007",1.426976,
"AUS","PPP","TOT","NATUSD","A","2008",1.479073,
"AUS","PPP","TOT","NATUSD","A","2009",1.441513,
"AUS","PPP","TOT","NATUSD","A","2010",1.501886,
"AUS","PPP","TOT","NATUSD","A","2011",1.511052,
"AUS","PPP","TOT","NATUSD","A","2012",1.540115,
"AUS","PPP","TOT","NATUSD","A","2013",1.447123,
"AUS","PPP","TOT","NATUSD","A","2014",1.452489,
"AUS","PPP","TOT","NATUSD","A","2015",1.474079,
"AUS","PPP","TOT","NATUSD","A","2016",1.451201,
"AUS","PPP","TOT","NATUSD","A","2017",1.444458,
"AUS","PPP","TOT","NATUSD","A","2018",1.432694,
"AUT","PPP","TOT","NATUSD","A","1960",0.96508,
"AUT","PPP","TOT","NATUSD","A","1961",1.006974,
"AUT","PPP","TOT","NATUSD","A","1962",1.02202,
"AUT","PPP","TOT","NATUSD","A","1963",1.043092,
"AUT","PPP","TOT","NATUSD","A","1964",1.058072,
"AUT","PPP","TOT","NATUSD","A","1965",1.087932,
"AUT","PPP","TOT","NATUSD","A","1966",1.084075,
"AUT","PPP","TOT","NATUSD","A","1967",1.088047,
"AUT","PPP","TOT","NATUSD","A","1968",1.067039,
"AUT","PPP","TOT","NATUSD","A","1969",1.042291,
"AUT","PPP","TOT","NATUSD","A","1970",1.01745,
"AUT","PPP","TOT","NATUSD","A","1971",1.028461,
"AUT","PPP","TOT","NATUSD","A","1972",1.060769,
"AUT","PPP","TOT","NATUSD","A","1973",1.086603,
"AUT","PPP","TOT","NATUSD","A","1974",1.091605,
"AUT","PPP","TOT","NATUSD","A","1975",1.063568,
"AUT","PPP","TOT","NATUSD","A","1976",1.064808,
"AUT","PPP","TOT","NATUSD","A","1977",1.054636,
"AUT","PPP","TOT","NATUSD","A","1978",1.04438,
"AUT","PPP","TOT","NATUSD","A","1979",1.004048,
"AUT","PPP","TOT","NATUSD","A","1980",0.972256,
"AUT","PPP","TOT","NATUSD","A","1981",0.94787,
"AUT","PPP","TOT","NATUSD","A","1982",0.940524,
"AUT","PPP","TOT","NATUSD","A","1983",0.936505,
"AUT","PPP","TOT","NATUSD","A","1984",0.948636,
"AUT","PPP","TOT","NATUSD","A","1985",0.946802,
"AUT","PPP","TOT","NATUSD","A","1986",0.955499,
"AUT","PPP","TOT","NATUSD","A","1987",0.955168,
"AUT","PPP","TOT","NATUSD","A","1988",0.93671,
"AUT","PPP","TOT","NATUSD","A","1989",0.928097,
"AUT","PPP","TOT","NATUSD","A","1990",0.921444,
"AUT","PPP","TOT","NATUSD","A","1991",0.923762,
"AUT","PPP","TOT","NATUSD","A","1992",0.934602,
"AUT","PPP","TOT","NATUSD","A","1993",0.938143,
"AUT","PPP","TOT","NATUSD","A","1994",0.941721,
"AUT","PPP","TOT","NATUSD","A","1995",0.939111,
"AUT","PPP","TOT","NATUSD","A","1996",0.935012,
"AUT","PPP","TOT","NATUSD","A","1997",0.931601,
"AUT","PPP","TOT","NATUSD","A","1998",0.922778,
"AUT","PPP","TOT","NATUSD","A","1999",0.923906,
"AUT","PPP","TOT","NATUSD","A","2000",0.907495,
"AUT","PPP","TOT","NATUSD","A","2001",0.922782,
"AUT","PPP","TOT","NATUSD","A","2002",0.899797,
"AUT","PPP","TOT","NATUSD","A","2003",0.889153,
"AUT","PPP","TOT","NATUSD","A","2004",0.878879,
"AUT","PPP","TOT","NATUSD","A","2005",0.881939,
"AUT","PPP","TOT","NATUSD","A","2006",0.860918,
"AUT","PPP","TOT","NATUSD","A","2007",0.869018,
"AUT","PPP","TOT","NATUSD","A","2008",0.854424,
"AUT","PPP","TOT","NATUSD","A","2009",0.843558,
"AUT","PPP","TOT","NATUSD","A","2010",0.842258,
"AUT","PPP","TOT","NATUSD","A","2011",0.831374,
"AUT","PPP","TOT","NATUSD","A","2012",0.813648,
"AUT","PPP","TOT","NATUSD","A","2013",0.797081,
"AUT","PPP","TOT","NATUSD","A","2014",0.798797,
"AUT","PPP","TOT","NATUSD","A","2015",0.798599,
"AUT","PPP","TOT","NATUSD","A","2016",0.789364,
"AUT","PPP","TOT","NATUSD","A","2017",0.780367,
"AUT","PPP","TOT","NATUSD","A","2018",0.786189,
"BEL","PPP","TOT","NATUSD","A","1960",0.861825,
"BEL","PPP","TOT","NATUSD","A","1961",0.863464,
"BEL","PPP","TOT","NATUSD","A","1962",0.857953,
"BEL","PPP","TOT","NATUSD","A","1963",0.871225,
"BEL","PPP","TOT","NATUSD","A","1964",0.895709,
"BEL","PPP","TOT","NATUSD","A","1965",0.9168,
"BEL","PPP","TOT","NATUSD","A","1966",0.922523,
"BEL","PPP","TOT","NATUSD","A","1967",0.925407,
"BEL","PPP","TOT","NATUSD","A","1968",0.905811,
"BEL","PPP","TOT","NATUSD","A","1969",0.89597,
"BEL","PPP","TOT","NATUSD","A","1970",0.888616,
"BEL","PPP","TOT","NATUSD","A","1971",0.89306,
"BEL","PPP","TOT","NATUSD","A","1972",0.910484,
"BEL","PPP","TOT","NATUSD","A","1973",0.924193,
"BEL","PPP","TOT","NATUSD","A","1974",0.954405,
"BEL","PPP","TOT","NATUSD","A","1975",0.979702,
"BEL","PPP","TOT","NATUSD","A","1976",0.998942,
"BEL","PPP","TOT","NATUSD","A","1977",1.010837,
"BEL","PPP","TOT","NATUSD","A","1978",0.986182,
"BEL","PPP","TOT","NATUSD","A","1979",0.951657,
"BEL","PPP","TOT","NATUSD","A","1980",0.908524,
"BEL","PPP","TOT","NATUSD","A","1981",0.872644,
"BEL","PPP","TOT","NATUSD","A","1982",0.884086,
"BEL","PPP","TOT","NATUSD","A","1983",0.898516,
"BEL","PPP","TOT","NATUSD","A","1984",0.914395,
"BEL","PPP","TOT","NATUSD","A","1985",0.927382,
"BEL","PPP","TOT","NATUSD","A","1986",0.934499,
"BEL","PPP","TOT","NATUSD","A","1987",0.92731,
"BEL","PPP","TOT","NATUSD","A","1988",0.915142,
"BEL","PPP","TOT","NATUSD","A","1989",0.922866,
"BEL","PPP","TOT","NATUSD","A","1990",0.914585,
"BEL","PPP","TOT","NATUSD","A","1991",0.910116,
"BEL","PPP","TOT","NATUSD","A","1992",0.92031,
"BEL","PPP","TOT","NATUSD","A","1993",0.93491,
"BEL","PPP","TOT","NATUSD","A","1994",0.934534,
"BEL","PPP","TOT","NATUSD","A","1995",0.926515,
"BEL","PPP","TOT","NATUSD","A","1996",0.928798,
"BEL","PPP","TOT","NATUSD","A","1997",0.927577,
"BEL","PPP","TOT","NATUSD","A","1998",0.935614,
"BEL","PPP","TOT","NATUSD","A","1999",0.931348,
"BEL","PPP","TOT","NATUSD","A","2000",0.899989,
"BEL","PPP","TOT","NATUSD","A","2001",0.892256,
"BEL","PPP","TOT","NATUSD","A","2002",0.8733,
"BEL","PPP","TOT","NATUSD","A","2003",0.877084,
"BEL","PPP","TOT","NATUSD","A","2004",0.889136,
"BEL","PPP","TOT","NATUSD","A","2005",0.891788,
"BEL","PPP","TOT","NATUSD","A","2006",0.875177,
"BEL","PPP","TOT","NATUSD","A","2007",0.879823,
"BEL","PPP","TOT","NATUSD","A","2008",0.86694,
"BEL","PPP","TOT","NATUSD","A","2009",0.849935,
"BEL","PPP","TOT","NATUSD","A","2010",0.836639,
"BEL","PPP","TOT","NATUSD","A","2011",0.831911,
"BEL","PPP","TOT","NATUSD","A","2012",0.822137,
"BEL","PPP","TOT","NATUSD","A","2013",0.806166,
"BEL","PPP","TOT","NATUSD","A","2014",0.800214,
"BEL","PPP","TOT","NATUSD","A","2015",0.799784,
"BEL","PPP","TOT","NATUSD","A","2016",0.793648,
"BEL","PPP","TOT","NATUSD","A","2017",0.781355,
"BEL","PPP","TOT","NATUSD","A","2018",0.783091,
"CAN","PPP","TOT","NATUSD","A","1960",0.953324,
"CAN","PPP","TOT","NATUSD","A","1961",0.94867,
"CAN","PPP","TOT","NATUSD","A","1962",0.941626,
"CAN","PPP","TOT","NATUSD","A","1963",0.948107,
"CAN","PPP","TOT","NATUSD","A","1964",0.957314,
"CAN","PPP","TOT","NATUSD","A","1965",0.963874,
"CAN","PPP","TOT","NATUSD","A","1966",0.977764,
"CAN","PPP","TOT","NATUSD","A","1967",0.992304,
"CAN","PPP","TOT","NATUSD","A","1968",0.980698,
"CAN","PPP","TOT","NATUSD","A","1969",0.97448,
"CAN","PPP","TOT","NATUSD","A","1970",0.932397,
"CAN","PPP","TOT","NATUSD","A","1971",0.930291,
"CAN","PPP","TOT","NATUSD","A","1972",0.944357,
"CAN","PPP","TOT","NATUSD","A","1973",0.982021,
"CAN","PPP","TOT","NATUSD","A","1974",1.037875,
"CAN","PPP","TOT","NATUSD","A","1975",1.051482,
"CAN","PPP","TOT","NATUSD","A","1976",1.091283,
"CAN","PPP","TOT","NATUSD","A","1977",1.097275,
"CAN","PPP","TOT","NATUSD","A","1978",1.092858,
"CAN","PPP","TOT","NATUSD","A","1979",1.109901,
"CAN","PPP","TOT","NATUSD","A","1980",1.120473,
"CAN","PPP","TOT","NATUSD","A","1981",1.133928,
"CAN","PPP","TOT","NATUSD","A","1982",1.162333,
"CAN","PPP","TOT","NATUSD","A","1983",1.18298,
"CAN","PPP","TOT","NATUSD","A","1984",1.182069,
"CAN","PPP","TOT","NATUSD","A","1985",1.18397,
"CAN","PPP","TOT","NATUSD","A","1986",1.196195,
"CAN","PPP","TOT","NATUSD","A","1987",1.22291,
"CAN","PPP","TOT","NATUSD","A","1988",1.234923,
"CAN","PPP","TOT","NATUSD","A","1989",1.244347,
"CAN","PPP","TOT","NATUSD","A","1990",1.240509,
"CAN","PPP","TOT","NATUSD","A","1991",1.237058,
"CAN","PPP","TOT","NATUSD","A","1992",1.227655,
"CAN","PPP","TOT","NATUSD","A","1993",1.214867,
"CAN","PPP","TOT","NATUSD","A","1994",1.206957,
"CAN","PPP","TOT","NATUSD","A","1995",1.208893,
"CAN","PPP","TOT","NATUSD","A","1996",1.207866,
"CAN","PPP","TOT","NATUSD","A","1997",1.200943,
"CAN","PPP","TOT","NATUSD","A","1998",1.185434,
"CAN","PPP","TOT","NATUSD","A","1999",1.19081,
"CAN","PPP","TOT","NATUSD","A","2000",1.22757,
"CAN","PPP","TOT","NATUSD","A","2001",1.221141,
"CAN","PPP","TOT","NATUSD","A","2002",1.229333,
"CAN","PPP","TOT","NATUSD","A","2003",1.226125,
"CAN","PPP","TOT","NATUSD","A","2004",1.233146,
"CAN","PPP","TOT","NATUSD","A","2005",1.213644,
"CAN","PPP","TOT","NATUSD","A","2006",1.205655,
"CAN","PPP","TOT","NATUSD","A","2007",1.213081,
"CAN","PPP","TOT","NATUSD","A","2008",1.23439,
"CAN","PPP","TOT","NATUSD","A","2009",1.20131,
"CAN","PPP","TOT","NATUSD","A","2010",1.221601,
"CAN","PPP","TOT","NATUSD","A","2011",1.239904,
"CAN","PPP","TOT","NATUSD","A","2012",1.244607,
"CAN","PPP","TOT","NATUSD","A","2013",1.224,
"CAN","PPP","TOT","NATUSD","A","2014",1.230358,
"CAN","PPP","TOT","NATUSD","A","2015",1.248004,
"CAN","PPP","TOT","NATUSD","A","2016",1.245164,
"CAN","PPP","TOT","NATUSD","A","2017",1.252006,
"CAN","PPP","TOT","NATUSD","A","2018",1.244715,
"CZE","PPP","TOT","NATUSD","A","1990",5.554944,
"CZE","PPP","TOT","NATUSD","A","1991",7.317937,
"CZE","PPP","TOT","NATUSD","A","1992",8.039031,
"CZE","PPP","TOT","NATUSD","A","1993",9.502788,
"CZE","PPP","TOT","NATUSD","A","1994",10.45242,
"CZE","PPP","TOT","NATUSD","A","1995",11.170141,
"CZE","PPP","TOT","NATUSD","A","1996",12.087498,
"CZE","PPP","TOT","NATUSD","A","1997",12.904501,
"CZE","PPP","TOT","NATUSD","A","1998",13.987362,
"CZE","PPP","TOT","NATUSD","A","1999",14.22935,
"CZE","PPP","TOT","NATUSD","A","2000",14.330436,
"CZE","PPP","TOT","NATUSD","A","2001",14.320313,
"CZE","PPP","TOT","NATUSD","A","2002",14.458321,
"CZE","PPP","TOT","NATUSD","A","2003",14.191736,
"CZE","PPP","TOT","NATUSD","A","2004",14.439285,
"CZE","PPP","TOT","NATUSD","A","2005",14.562493,
"CZE","PPP","TOT","NATUSD","A","2006",14.429523,
"CZE","PPP","TOT","NATUSD","A","2007",14.272567,
"CZE","PPP","TOT","NATUSD","A","2008",13.916713,
"CZE","PPP","TOT","NATUSD","A","2009",13.635638,
"CZE","PPP","TOT","NATUSD","A","2010",13.673097,
"CZE","PPP","TOT","NATUSD","A","2011",13.345305,
"CZE","PPP","TOT","NATUSD","A","2012",13.297699,
"CZE","PPP","TOT","NATUSD","A","2013",12.785271,
"CZE","PPP","TOT","NATUSD","A","2014",12.70321,
"CZE","PPP","TOT","NATUSD","A","2015",12.934509,
"CZE","PPP","TOT","NATUSD","A","2016",12.808315,
"CZE","PPP","TOT","NATUSD","A","2017",12.530576,
"CZE","PPP","TOT","NATUSD","A","2018",12.618271,
"DNK","PPP","TOT","NATUSD","A","1960",3.941534,
"DNK","PPP","TOT","NATUSD","A","1961",4.071686,
"DNK","PPP","TOT","NATUSD","A","1962",4.244655,
"DNK","PPP","TOT","NATUSD","A","1963",4.424863,
"DNK","PPP","TOT","NATUSD","A","1964",4.547297,
"DNK","PPP","TOT","NATUSD","A","1965",4.752777,
"DNK","PPP","TOT","NATUSD","A","1966",4.957231,
"DNK","PPP","TOT","NATUSD","A","1967",5.110157,
"DNK","PPP","TOT","NATUSD","A","1968",5.208318,
"DNK","PPP","TOT","NATUSD","A","1969",5.28073,
"DNK","PPP","TOT","NATUSD","A","1970",6.114064,
"DNK","PPP","TOT","NATUSD","A","1971",6.25234,
"DNK","PPP","TOT","NATUSD","A","1972",6.568716,
"DNK","PPP","TOT","NATUSD","A","1973",6.888828,
"DNK","PPP","TOT","NATUSD","A","1974",7.158536,
"DNK","PPP","TOT","NATUSD","A","1975",7.426718,
"DNK","PPP","TOT","NATUSD","A","1976",7.699607,
"DNK","PPP","TOT","NATUSD","A","1977",7.892616,
"DNK","PPP","TOT","NATUSD","A","1978",8.034261,
"DNK","PPP","TOT","NATUSD","A","1979",7.943174,
"DNK","PPP","TOT","NATUSD","A","1980",7.926969,
"DNK","PPP","TOT","NATUSD","A","1981",8.016157,
"DNK","PPP","TOT","NATUSD","A","1982",8.315605,
"DNK","PPP","TOT","NATUSD","A","1983",8.593213,
"DNK","PPP","TOT","NATUSD","A","1984",8.788248,
"DNK","PPP","TOT","NATUSD","A","1985",8.884391,
"DNK","PPP","TOT","NATUSD","A","1986",8.910659,
"DNK","PPP","TOT","NATUSD","A","1987",9.109112,
"DNK","PPP","TOT","NATUSD","A","1988",9.145824,
"DNK","PPP","TOT","NATUSD","A","1989",9.237786,
"DNK","PPP","TOT","NATUSD","A","1990",9.136193,
"DNK","PPP","TOT","NATUSD","A","1991",9.072363,
"DNK","PPP","TOT","NATUSD","A","1992",9.017097,
"DNK","PPP","TOT","NATUSD","A","1993",8.859486,
"DNK","PPP","TOT","NATUSD","A","1994",8.810051,
"DNK","PPP","TOT","NATUSD","A","1995",8.739776,
"DNK","PPP","TOT","NATUSD","A","1996",8.71864,
"DNK","PPP","TOT","NATUSD","A","1997",8.700422,
"DNK","PPP","TOT","NATUSD","A","1998",8.661826,
"DNK","PPP","TOT","NATUSD","A","1999",8.752578,
"DNK","PPP","TOT","NATUSD","A","2000",8.670098,
"DNK","PPP","TOT","NATUSD","A","2001",8.69077,
"DNK","PPP","TOT","NATUSD","A","2002",8.561606,
"DNK","PPP","TOT","NATUSD","A","2003",8.657446,
"DNK","PPP","TOT","NATUSD","A","2004",8.467542,
"DNK","PPP","TOT","NATUSD","A","2005",8.569438,
"DNK","PPP","TOT","NATUSD","A","2006",8.295715,
"DNK","PPP","TOT","NATUSD","A","2007",8.170339,
"DNK","PPP","TOT","NATUSD","A","2008",7.944128,
"DNK","PPP","TOT","NATUSD","A","2009",7.729549,
"DNK","PPP","TOT","NATUSD","A","2010",7.591444,
"DNK","PPP","TOT","NATUSD","A","2011",7.466492,
"DNK","PPP","TOT","NATUSD","A","2012",7.564136,
"DNK","PPP","TOT","NATUSD","A","2013",7.354846,
"DNK","PPP","TOT","NATUSD","A","2014",7.328674,
"DNK","PPP","TOT","NATUSD","A","2015",7.303397,
"DNK","PPP","TOT","NATUSD","A","2016",7.232726,
"DNK","PPP","TOT","NATUSD","A","2017",6.950601,
"DNK","PPP","TOT","NATUSD","A","2018",6.958792,
"FIN","PPP","TOT","NATUSD","A","1960",0.381996,
"FIN","PPP","TOT","NATUSD","A","1961",0.398527,
"FIN","PPP","TOT","NATUSD","A","1962",0.405087,
"FIN","PPP","TOT","NATUSD","A","1963",0.419786,
"FIN","PPP","TOT","NATUSD","A","1964",0.441983,
"FIN","PPP","TOT","NATUSD","A","1965",0.451572,
"FIN","PPP","TOT","NATUSD","A","1966",0.456959,
"FIN","PPP","TOT","NATUSD","A","1967",0.476907,
"FIN","PPP","TOT","NATUSD","A","1968",0.509659,
"FIN","PPP","TOT","NATUSD","A","1969",0.504703,
"FIN","PPP","TOT","NATUSD","A","1970",0.514538,
"FIN","PPP","TOT","NATUSD","A","1971",0.525777,
"FIN","PPP","TOT","NATUSD","A","1972",0.54554,
"FIN","PPP","TOT","NATUSD","A","1973",0.588427,
"FIN","PPP","TOT","NATUSD","A","1974",0.658999,
"FIN","PPP","TOT","NATUSD","A","1975",0.684967,
"FIN","PPP","TOT","NATUSD","A","1976",0.734447,
"FIN","PPP","TOT","NATUSD","A","1977",0.756611,
"FIN","PPP","TOT","NATUSD","A","1978",0.759582,
"FIN","PPP","TOT","NATUSD","A","1979",0.759641,
"FIN","PPP","TOT","NATUSD","A","1980",0.763839,
"FIN","PPP","TOT","NATUSD","A","1981",0.779129,
"FIN","PPP","TOT","NATUSD","A","1982",0.800332,
"FIN","PPP","TOT","NATUSD","A","1983",0.833328,
"FIN","PPP","TOT","NATUSD","A","1984",0.872339,
"FIN","PPP","TOT","NATUSD","A","1985",0.889792,
"FIN","PPP","TOT","NATUSD","A","1986",0.913979,
"FIN","PPP","TOT","NATUSD","A","1987",0.930062,
"FIN","PPP","TOT","NATUSD","A","1988",0.967353,
"FIN","PPP","TOT","NATUSD","A","1989",0.99168,
"FIN","PPP","TOT","NATUSD","A","1990",1.005624,
"FIN","PPP","TOT","NATUSD","A","1991",0.987891,
"FIN","PPP","TOT","NATUSD","A","1992",0.974854,
"FIN","PPP","TOT","NATUSD","A","1993",0.969468,
"FIN","PPP","TOT","NATUSD","A","1994",0.966688,
"FIN","PPP","TOT","NATUSD","A","1995",0.986568,
"FIN","PPP","TOT","NATUSD","A","1996",0.992928,
"FIN","PPP","TOT","NATUSD","A","1997",0.989274,
"FIN","PPP","TOT","NATUSD","A","1998",0.991541,
"FIN","PPP","TOT","NATUSD","A","1999",0.992037,
"FIN","PPP","TOT","NATUSD","A","2000",0.983987,
"FIN","PPP","TOT","NATUSD","A","2001",1.002519,
"FIN","PPP","TOT","NATUSD","A","2002",0.998133,
"FIN","PPP","TOT","NATUSD","A","2003",1.003113,
"FIN","PPP","TOT","NATUSD","A","2004",0.974098,
"FIN","PPP","TOT","NATUSD","A","2005",0.979424,
"FIN","PPP","TOT","NATUSD","A","2006",0.953853,
"FIN","PPP","TOT","NATUSD","A","2007",0.93572,
"FIN","PPP","TOT","NATUSD","A","2008",0.912125,
"FIN","PPP","TOT","NATUSD","A","2009",0.896318,
"FIN","PPP","TOT","NATUSD","A","2010",0.900548,
"FIN","PPP","TOT","NATUSD","A","2011",0.898068,
"FIN","PPP","TOT","NATUSD","A","2012",0.908495,
"FIN","PPP","TOT","NATUSD","A","2013",0.905357,
"FIN","PPP","TOT","NATUSD","A","2014",0.90721,
"FIN","PPP","TOT","NATUSD","A","2015",0.907504,
"FIN","PPP","TOT","NATUSD","A","2016",0.899145,
"FIN","PPP","TOT","NATUSD","A","2017",0.877078,
"FIN","PPP","TOT","NATUSD","A","2018",0.877552,
"FRA","PPP","TOT","NATUSD","A","1960",0.555651,
"FRA","PPP","TOT","NATUSD","A","1961",0.568996,
"FRA","PPP","TOT","NATUSD","A","1962",0.58225,
"FRA","PPP","TOT","NATUSD","A","1963",0.610652,
"FRA","PPP","TOT","NATUSD","A","1964",0.624771,
"FRA","PPP","TOT","NATUSD","A","1965",0.624415,
"FRA","PPP","TOT","NATUSD","A","1966",0.620819,
"FRA","PPP","TOT","NATUSD","A","1967",0.622692,
"FRA","PPP","TOT","NATUSD","A","1968",0.619051,
"FRA","PPP","TOT","NATUSD","A","1969",0.62729,
"FRA","PPP","TOT","NATUSD","A","1970",0.656169,
"FRA","PPP","TOT","NATUSD","A","1971",0.66136,
"FRA","PPP","TOT","NATUSD","A","1972",0.677096,
"FRA","PPP","TOT","NATUSD","A","1973",0.692372,
"FRA","PPP","TOT","NATUSD","A","1974",0.710372,
"FRA","PPP","TOT","NATUSD","A","1975",0.739569,
"FRA","PPP","TOT","NATUSD","A","1976",0.776341,
"FRA","PPP","TOT","NATUSD","A","1977",0.795066,
"FRA","PPP","TOT","NATUSD","A","1978",0.811744,
"FRA","PPP","TOT","NATUSD","A","1979",0.826838,
"FRA","PPP","TOT","NATUSD","A","1980",0.846964,
"FRA","PPP","TOT","NATUSD","A","1981",0.864217,
"FRA","PPP","TOT","NATUSD","A","1982",0.912373,
"FRA","PPP","TOT","NATUSD","A","1983",0.962713,
"FRA","PPP","TOT","NATUSD","A","1984",0.994861,
"FRA","PPP","TOT","NATUSD","A","1985",1.016958,
"FRA","PPP","TOT","NATUSD","A","1986",1.047276,
"FRA","PPP","TOT","NATUSD","A","1987",1.047106,
"FRA","PPP","TOT","NATUSD","A","1988",1.043727,
"FRA","PPP","TOT","NATUSD","A","1989",1.037349,
"FRA","PPP","TOT","NATUSD","A","1990",1.026488,
"FRA","PPP","TOT","NATUSD","A","1991",1.018201,
"FRA","PPP","TOT","NATUSD","A","1992",1.015096,
"FRA","PPP","TOT","NATUSD","A","1993",1.007701,
"FRA","PPP","TOT","NATUSD","A","1994",0.995758,
"FRA","PPP","TOT","NATUSD","A","1995",0.986277,
"FRA","PPP","TOT","NATUSD","A","1996",0.982462,
"FRA","PPP","TOT","NATUSD","A","1997",0.969314,
"FRA","PPP","TOT","NATUSD","A","1998",0.961591,
"FRA","PPP","TOT","NATUSD","A","1999",0.952721,
"FRA","PPP","TOT","NATUSD","A","2000",0.93024,
"FRA","PPP","TOT","NATUSD","A","2001",0.911567,
"FRA","PPP","TOT","NATUSD","A","2002",0.900678,
"FRA","PPP","TOT","NATUSD","A","2003",0.930925,
"FRA","PPP","TOT","NATUSD","A","2004",0.935979,
"FRA","PPP","TOT","NATUSD","A","2005",0.916458,
"FRA","PPP","TOT","NATUSD","A","2006",0.895617,
"FRA","PPP","TOT","NATUSD","A","2007",0.889631,
"FRA","PPP","TOT","NATUSD","A","2008",0.881874,
"FRA","PPP","TOT","NATUSD","A","2009",0.862789,
"FRA","PPP","TOT","NATUSD","A","2010",0.8547,
"FRA","PPP","TOT","NATUSD","A","2011",0.841361,
"FRA","PPP","TOT","NATUSD","A","2012",0.844301,
"FRA","PPP","TOT","NATUSD","A","2013",0.811643,
"FRA","PPP","TOT","NATUSD","A","2014",0.807565,
"FRA","PPP","TOT","NATUSD","A","2015",0.808478,
"FRA","PPP","TOT","NATUSD","A","2016",0.794704,
"FRA","PPP","TOT","NATUSD","A","2017",0.775574,
"FRA","PPP","TOT","NATUSD","A","2018",0.774715,
"DEU","PPP","TOT","NATUSD","A","1960",1.242774,
"DEU","PPP","TOT","NATUSD","A","1961",1.288992,
"DEU","PPP","TOT","NATUSD","A","1962",1.309573,
"DEU","PPP","TOT","NATUSD","A","1963",1.330448,
"DEU","PPP","TOT","NATUSD","A","1964",1.346592,
"DEU","PPP","TOT","NATUSD","A","1965",1.358786,
"DEU","PPP","TOT","NATUSD","A","1966",1.358207,
"DEU","PPP","TOT","NATUSD","A","1967",1.340967,
"DEU","PPP","TOT","NATUSD","A","1968",1.308165,
"DEU","PPP","TOT","NATUSD","A","1969",1.295629,
"DEU","PPP","TOT","NATUSD","A","1970",1.28265,
"DEU","PPP","TOT","NATUSD","A","1971",1.313806,
"DEU","PPP","TOT","NATUSD","A","1972",1.316439,
"DEU","PPP","TOT","NATUSD","A","1973",1.326669,
"DEU","PPP","TOT","NATUSD","A","1974",1.305692,
"DEU","PPP","TOT","NATUSD","A","1975",1.26272,
"DEU","PPP","TOT","NATUSD","A","1976",1.236423,
"DEU","PPP","TOT","NATUSD","A","1977",1.200189,
"DEU","PPP","TOT","NATUSD","A","1978",1.161077,
"DEU","PPP","TOT","NATUSD","A","1979",1.117994,
"DEU","PPP","TOT","NATUSD","A","1980",1.081267,
