"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PPP","TOT","NATUSD","A","2000",1.311113,
"AUS","PPP","TOT","NATUSD","A","2001",1.328591,
"AUS","PPP","TOT","NATUSD","A","2002",1.33649,
"AUS","PPP","TOT","NATUSD","A","2003",1.355785,
"AUS","PPP","TOT","NATUSD","A","2004",1.365561,
"AUS","PPP","TOT","NATUSD","A","2005",1.388356,
"AUS","PPP","TOT","NATUSD","A","2006",1.403273,
"AUS","PPP","TOT","NATUSD","A","2007",1.426976,
"AUS","PPP","TOT","NATUSD","A","2008",1.479073,
"AUS","PPP","TOT","NATUSD","A","2009",1.441513,
"AUS","PPP","TOT","NATUSD","A","2010",1.501886,
"AUS","PPP","TOT","NATUSD","A","2011",1.511052,
"AUS","PPP","TOT","NATUSD","A","2012",1.540115,
"AUS","PPP","TOT","NATUSD","A","2013",1.447123,
"AUS","PPP","TOT","NATUSD","A","2014",1.452489,
"AUS","PPP","TOT","NATUSD","A","2015",1.474079,
"AUS","PPP","TOT","NATUSD","A","2016",1.451201,
"AUS","PPP","TOT","NATUSD","A","2017",1.444458,
"AUS","PPP","TOT","NATUSD","A","2018",1.432694,
"AUT","PPP","TOT","NATUSD","A","2000",0.907495,
"AUT","PPP","TOT","NATUSD","A","2001",0.922782,
"AUT","PPP","TOT","NATUSD","A","2002",0.899797,
"AUT","PPP","TOT","NATUSD","A","2003",0.889153,
"AUT","PPP","TOT","NATUSD","A","2004",0.878879,
"AUT","PPP","TOT","NATUSD","A","2005",0.881939,
"AUT","PPP","TOT","NATUSD","A","2006",0.860918,
"AUT","PPP","TOT","NATUSD","A","2007",0.869018,
"AUT","PPP","TOT","NATUSD","A","2008",0.854424,
"AUT","PPP","TOT","NATUSD","A","2009",0.843558,
"AUT","PPP","TOT","NATUSD","A","2010",0.842258,
"AUT","PPP","TOT","NATUSD","A","2011",0.831374,
"AUT","PPP","TOT","NATUSD","A","2012",0.813648,
"AUT","PPP","TOT","NATUSD","A","2013",0.797081,
"AUT","PPP","TOT","NATUSD","A","2014",0.798797,
"AUT","PPP","TOT","NATUSD","A","2015",0.798599,
"AUT","PPP","TOT","NATUSD","A","2016",0.789364,
"AUT","PPP","TOT","NATUSD","A","2017",0.780367,
"AUT","PPP","TOT","NATUSD","A","2018",0.786189,
"BEL","PPP","TOT","NATUSD","A","2000",0.899989,
"BEL","PPP","TOT","NATUSD","A","2001",0.892256,
"BEL","PPP","TOT","NATUSD","A","2002",0.8733,
"BEL","PPP","TOT","NATUSD","A","2003",0.877084,
"BEL","PPP","TOT","NATUSD","A","2004",0.889136,
